total_reward,avg_reward_per_step,reward_variance,reward_std,reward_iqr,reward_improvement,early_reward,late_reward,mean_reward_std_across_agents,reward_trend_slope,action_0_rate,action_1_rate,action_2_rate,action_3_rate,action_4_rate,action_entropy,action_change_rate,avg_action_consistency,concordant_action_rate,mean_obs_diff,std_obs_diff,mean_obs_mean,mean_obs_std,obs_diff_cv,obs_diff_trend,reward_zero_rate,reward_constant_rate,reward_frozen_rate,obs_zero_rate,identical_obs_rate,obs_extreme_rate,partial_zero_rate,mean_obs_neg_rate,label,failure_type
-131.82322973642232,-5.272929189456892,0.6791174144220489,0.8240858052545553,0.4735576747033772,1.44894536677055,-6.666124870202239,-5.217179503431689,0.03771236166328265,0.05885375359529406,0.14666666666666667,0.25333333333333335,0.18666666666666668,0.2,0.21333333333333335,1.5941525963056074,0.8472222222222222,0.5733333333333334,0.546875,0.548137583902967,0.21892559305432233,-0.03176013118393409,0.7374114561572156,0.3993989813580786,-0.003631389613974549,0.0,0.0,0.04,0.0,0.0,0.0,0.22666666666666666,0.0,normal,none
-73.9951783091936,-2.9598071323677444,0.259314112612184,0.5092289392917335,0.6493161417395856,0.195505144880892,-2.675220385307693,-2.479715240426801,0.028284271247461926,0.01462577394450796,0.26666666666666666,0.16,0.2,0.18666666666666668,0.18666666666666668,1.594183000007361,0.7777777777777778,0.4933333333333333,0.4727272727272727,0.46541537924356063,0.20557042790542376,-0.12531530446519523,0.486627568462653,0.4416923819703699,0.0022274425128780808,0.0,0.0,0.04,0.0,0.027777777777777776,0.0,0.23925925925925925,0.0,normal,none
-68.24776139506783,-2.729910455802713,0.40506680044888227,0.6364485842932501,0.7321845099417783,-0.7973551717949268,-2.1024496409696263,-2.899804812764553,0.04714045207910319,-0.05705709136539384,0.26666666666666666,0.16,0.24,0.13333333333333333,0.2,1.578730502102772,0.8055555555555556,0.5599999999999999,0.5272727272727272,0.535562549927068,0.26516786746817356,-0.06316984775838339,0.47069613254516895,0.4951202562784934,0.0035088793631733225,0.0,0.0,0.04,0.0,0.0,0.0,0.2288888888888889,0.0,normal,none
-90.00114990359144,-3.6000459961436575,0.1792444145167867,0.42337266623718955,0.7616479387266457,0.12845910411632655,-3.1918132394609744,-3.063354135344648,3.1086244689504386e-17,0.0011699616746475986,0.16,0.14666666666666667,0.18666666666666668,0.21333333333333335,0.29333333333333333,1.5773963276303617,0.8333333333333334,0.5199999999999999,0.47619047619047616,0.5092007656935228,0.14354949407150777,0.09265457611274475,0.6662421759569273,0.28191138635481905,-2.9853718756475877e-05,0.0,0.0,0.04,0.0,0.0,0.0,0.2348148148148148,0.0,normal,none
-47.386911349930024,-1.8954764539972009,0.11200983271769291,0.3346787007230859,0.38033156804386126,-0.14953324849980199,-1.6630020452962242,-1.8125352937960262,0.009428090415820647,-0.007568340708177552,0.24,0.24,0.17333333333333334,0.16,0.18666666666666668,1.5953093489535566,0.8055555555555556,0.5466666666666666,0.5789473684210527,0.48302940076562784,0.1734670087896968,-0.10966999540183067,0.6355838358874191,0.359123084755543,0.0014807270122731934,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23407407407407407,0.0,normal,none
-65.01368631142067,-2.600547452456827,0.569426377851013,0.7546034573542669,0.1672171456812923,-1.9012980934836445,-2.194251129960949,-4.095549223444594,0.047140452079103196,-0.0759495230195979,0.25333333333333335,0.17333333333333334,0.18666666666666668,0.18666666666666668,0.2,1.6001142402390072,0.7916666666666666,0.48,0.5357142857142857,0.47523829290164016,0.2393366181213483,-0.09777219220987281,0.4511712662933841,0.5036139157819712,0.004701516271224226,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23925925925925925,0.0,normal,none
-43.52648652011269,-1.7410594608045076,0.2025313158397842,0.45003479403239943,0.721103111874275,-0.4399442593389007,-1.226278912368869,-1.6662231717077698,1.9984014443252817e-17,-0.03081720882271578,0.21333333333333335,0.25333333333333335,0.17333333333333334,0.24,0.12,1.5781305849292333,0.8055555555555556,0.5066666666666666,0.559322033898305,0.4626113535208205,0.17540897273178968,-0.009435683362168707,0.6083720114015084,0.37917135197314994,-0.0002592704369353428,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23555555555555555,0.0,normal,none
-96.04376258723885,-3.841750503489554,0.09541394576991008,0.3088914789532241,0.5564574719591411,-0.6472800412059279,-3.5302204485012707,-4.177500489707199,2.6645352591003756e-17,-0.03865094947613122,0.24,0.24,0.18666666666666668,0.18666666666666668,0.14666666666666667,1.593170293341027,0.75,0.5333333333333333,0.43859649122807015,0.4512283047869958,0.20423848073354134,-0.1703463091570194,0.8270012017919469,0.4526278119395128,0.0036608610225724375,0.0,0.0,0.04,0.0,0.027777777777777776,0.0,0.24,0.0,normal,none
-103.97322197273621,-4.158928878909449,0.3174115908506161,0.5633929275830645,0.9219317089165324,0.37217011875026795,-4.4320528377165616,-4.059882718966294,0.0188561808316413,-0.004307099503249594,0.24,0.24,0.21333333333333335,0.13333333333333333,0.17333333333333334,1.5870215079707921,0.8055555555555556,0.5866666666666667,0.5614035087719298,0.46462496304946094,0.1677049812178582,-0.17733704773105544,0.7375776993385935,0.3609469877731439,0.0009092393170315217,0.0,0.0,0.04,0.0,0.0,0.0,0.2288888888888889,0.0,normal,none
-76.8259757839897,-3.0730390313595883,0.17441418225709096,0.4176292401845098,0.46120201632574753,0.3202986491758728,-2.964746568361466,-2.6444479191855934,0.028284271247461912,0.019519216475407934,0.17333333333333334,0.16,0.2,0.22666666666666666,0.24,1.5978175408369668,0.8333333333333334,0.5333333333333333,0.41935483870967744,0.5253236848397163,0.17515091236320293,0.13582683406746918,0.5587652791273471,0.3334152201479908,-0.000494535941000927,0.0,0.0,0.04,0.0,0.0,0.0,0.22962962962962963,0.0,normal,none
